CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
92010453,2,1,1,F,22,7,1,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2023
91316780,1,1,1,M,35,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91400952,1,1,1,F,75,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91438665,3,1,1,M,45,7,1,L,G,0,"SAN LUIS OBISPO","PISMO BEACH",2021
91488644,2,1,1,M,19,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91591045,7,1,1,M,37,6,1,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2021
91758209,1,1,1,F,21,7,1,M,C,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
90644393,1,1,1,M,18,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90644393,1,2,2,F,15,7,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90644393,2,1,1,F,51,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90644393,2,2,2,M,27,7,3,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90769466,1,1,1,M,22,5,1,P,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90833189,1,1,1,F,23,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90904529,1,1,1,M,16,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
81514112,1,1,1,M,73,5,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
81514112,2,1,1,M,33,6,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
81583219,1,1,1,F,21,7,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
81627893,1,1,2,F,16,7,3,L,G,1,"SAN LUIS OBISPO","PASO ROBLES",2021
81627893,2,1,1,M,65,7,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
81629979,2,1,3,M,9,6,9,-,A,-,"SAN LUIS OBISPO","PASO ROBLES",2021
81659470,2,1,3,F,55,6,9,-,-,-,"SAN LUIS OBISPO","PASO ROBLES",2021
81798261,2,1,1,F,34,5,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81800528,2,1,1,F,22,7,1,P,W,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81829341,1,1,3,M,80,5,9,-,P,-,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81839578,2,1,2,M,43,7,3,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81860436,2,1,2,M,998,6,4,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81860436,2,2,2,M,24,6,4,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81870434,1,1,4,M,22,7,1,-,W,2,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81910624,2,1,4,F,25,6,9,-,W,1,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81957165,2,1,3,M,32,6,9,-,-,-,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81957167,1,1,4,M,20,6,1,-,A,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
